hand_side,orientation,index_angle,middle_angle,ring_angle,thumb_index_distance,ball_thumb_distance,ball_index_distance,ball_middle_distance,ball_ring_distance,wrist_angle,label
RIGHT,BACK,174.9,173.12,54.67,0.4444,0.2457,0.6796,0.8626,0.7786,76.05,seam_grip
RIGHT,BACK,175.45,174.46,51.9,0.4335,0.2621,0.6856,0.901,0.7914,76.65,seam_grip
RIGHT,BACK,174.57,173.36,47.94,0.4411,0.2746,0.7019,0.8714,0.8129,76.53,seam_grip
RIGHT,BACK,172.89,173.5,50.44,0.4178,0.2512,0.6625,0.82,0.7974,76.36,seam_grip
RIGHT,BACK,172.29,174.36,51.73,0.4815,0.1655,0.6461,0.824,0.7838,76.64,seam_grip
RIGHT,BACK,173.68,173.4,53.9,0.4752,0.1884,0.6603,0.8128,0.7605,76.68,seam_grip
RIGHT,BACK,175.88,173.87,45.38,0.5251,0.16,0.684,0.8733,0.8497,76.35,seam_grip
RIGHT,BACK,175.87,174.1,48.8,0.5206,0.1585,0.6789,0.8387,0.7851,76.38,seam_grip
RIGHT,BACK,176.54,173.97,45.55,0.5641,0.1144,0.6765,0.8721,0.8615,76.83,seam_grip
RIGHT,BACK,173.66,174.54,36.51,0.7217,0.0742,0.712,0.9097,0.9724,77.89,seam_grip
RIGHT,BACK,175.76,174.29,38.67,0.6629,0.0857,0.7321,0.9143,0.9209,78.58,seam_grip
RIGHT,BACK,173.91,171.19,39.55,0.6078,0.1375,0.7041,0.7182,0.648,85.82,seam_grip
RIGHT,BACK,171.18,170.77,38.12,0.5167,0.099,0.6026,0.637,0.6959,86.54,seam_grip
RIGHT,BACK,175.2,166.2,37.74,0.3532,0.3406,0.5884,0.6157,0.5167,84.32,seam_grip
RIGHT,BACK,173.85,160.25,38.7,0.3449,0.3071,0.5753,0.6287,0.573,84.3,seam_grip
RIGHT,BACK,171.37,164.26,38.33,0.3224,0.3212,0.5741,0.6398,0.5703,84.48,seam_grip
RIGHT,BACK,174.91,161.84,39.18,0.3404,0.3376,0.5809,0.5991,0.5101,84.63,seam_grip
RIGHT,BACK,174.61,163.66,37.31,0.3289,0.3134,0.5821,0.6528,0.5916,84.8,seam_grip
RIGHT,BACK,157.03,146.34,67.73,0.3509,0.3126,0.5176,0.5807,0.3512,79.13,seam_grip
RIGHT,BACK,159.04,151.54,69.1,0.3841,0.3106,0.5166,0.5903,0.3637,79.86,seam_grip
RIGHT,BACK,153.2,148.61,64.07,0.3982,0.3194,0.4827,0.5696,0.3759,79.45,seam_grip
RIGHT,BACK,159.97,144.94,48.53,0.4649,0.3193,0.5245,0.5636,0.443,80.61,seam_grip
RIGHT,BACK,164.68,154.24,46.09,0.4993,0.3142,0.5454,0.5827,0.4638,81.05,seam_grip
RIGHT,BACK,154.48,170.59,19.89,0.6144,0.2882,0.524,0.6466,0.7648,86.38,seam_grip
RIGHT,BACK,159.24,173.64,52.45,0.6557,0.253,0.5217,0.6069,0.5074,88.1,seam_grip
RIGHT,BACK,154.07,174.15,77.97,0.6338,0.2713,0.5243,0.5934,0.3919,87.81,seam_grip
RIGHT,BACK,175.5,176.46,22.98,1.0713,0.5047,0.6044,0.6791,1.035,89.98,seam_grip
RIGHT,BACK,168.91,169.79,93.21,0.6725,0.4496,1.0057,1.0401,0.5828,81.2,seam_grip
RIGHT,BACK,169.82,169.22,116.07,0.7513,0.3976,1.0535,1.0351,0.4303,81.35,seam_grip
RIGHT,BACK,172.74,170.08,72.29,0.7611,0.3343,1.017,1.0819,0.7481,83.61,seam_grip
RIGHT,BACK,172.51,170.8,56.32,0.8628,0.1134,0.9422,1.0603,0.9117,82.22,seam_grip
RIGHT,BACK,173.63,170.07,88.8,0.8346,0.1877,0.9681,1.0488,0.6826,83.25,seam_grip
RIGHT,BACK,172.12,170.82,73.56,0.8895,0.1187,0.9837,1.0825,0.7862,82.95,seam_grip
RIGHT,BACK,143.97,152.72,26.16,0.5428,0.1142,0.636,0.5058,0.7359,72.88,seam_grip
RIGHT,BACK,143.43,154.48,26.1,0.5316,0.1011,0.6234,0.5135,0.7405,72.14,seam_grip
RIGHT,BACK,152.73,157.31,21.39,0.5644,0.0486,0.5159,0.419,0.7852,80.18,seam_grip
RIGHT,BACK,153.83,162.43,19.25,0.5267,0.2662,0.479,0.5344,0.866,79.93,seam_grip
RIGHT,BACK,156.22,159.67,21.55,0.5706,0.1901,0.4969,0.4733,0.8274,80.2,seam_grip
RIGHT,BACK,156.13,156.63,22.77,0.5615,0.0702,0.4985,0.4229,0.8021,80.12,seam_grip
RIGHT,BACK,153.62,156.47,22.72,0.5484,0.0351,0.5136,0.4182,0.8037,80.74,seam_grip
RIGHT,BACK,155.99,158.6,21.83,0.5922,0.1782,0.5057,0.494,0.8152,79.88,seam_grip
RIGHT,BACK,154.17,160.06,21.21,0.5498,0.0884,0.4983,0.4461,0.8156,80.12,seam_grip
RIGHT,BACK,153.76,156.69,22.96,0.5557,0.087,0.4971,0.4294,0.8198,80.6,seam_grip
RIGHT,BACK,154.82,157.99,24.32,0.598,0.0821,0.5164,0.4283,0.8092,80.0,seam_grip
RIGHT,BACK,154.54,159.75,24.33,0.5417,0.0831,0.5025,0.4401,0.8111,80.2,seam_grip
RIGHT,BACK,154.46,156.95,24.68,0.5563,0.0736,0.5193,0.4264,0.8011,79.89,seam_grip
RIGHT,BACK,153.19,154.97,26.56,0.5572,0.1059,0.4891,0.4201,0.8111,79.88,seam_grip
RIGHT,BACK,151.88,155.53,26.19,0.5357,0.0066,0.5291,0.4033,0.7993,79.29,seam_grip
